2020-06-30 16:21:01.073 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.ActivityCollect.
2020-06-30 16:21:01.390 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 16:21:01.397 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 16:21:01.401 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 16:21:01.561 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Customerrelation.
2020-06-30 16:21:01.973 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 16:21:01.979 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 16:21:01.983 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 16:21:02.025 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 16:21:02.031 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 16:21:02.036 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 16:21:02.080 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 16:21:02.086 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 16:21:02.090 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 16:21:02.326 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Qzmonthlog.
2020-06-30 16:21:02.448 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
