2020-06-29 11:00:39.144 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.ActivityCollect.
2020-06-29 11:00:39.366 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:00:39.372 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:00:39.376 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:00:39.510 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Customerrelation.
2020-06-29 11:00:39.881 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:00:39.885 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:00:39.890 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:00:39.918 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:00:39.922 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:00:39.925 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:00:39.966 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:00:39.973 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:00:39.978 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:00:40.192 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Qzmonthlog.
2020-06-29 11:00:40.314 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:00:40.320 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:00:40.325 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:21:19.539 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.ActivityCollect.
2020-06-29 11:21:19.780 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:21:19.784 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:21:19.788 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:21:19.910 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Customerrelation.
2020-06-29 11:21:20.217 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:21:20.221 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:21:20.224 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:21:20.248 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:21:20.253 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:21:20.255 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:21:20.280 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:21:20.284 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:21:20.287 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:21:20.503 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Qzmonthlog.
2020-06-29 11:21:20.623 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:21:20.629 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:21:20.632 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:21:22.022 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'alipayController': Injection of resource dependencies failed; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.weilai9.common.utils.alipay.AlipayUtil' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@javax.annotation.Resource(shareable=true, lookup=, name=, description=, authenticationType=CONTAINER, type=class java.lang.Object, mappedName=)}
2020-06-29 11:27:46.085 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.ActivityCollect.
2020-06-29 11:27:46.338 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:27:46.346 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:27:46.350 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:27:46.524 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Customerrelation.
2020-06-29 11:27:46.912 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:27:46.917 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:27:46.919 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:27:46.943 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:27:46.947 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:27:46.950 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:27:46.975 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:27:46.979 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:27:46.982 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:27:47.134 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Qzmonthlog.
2020-06-29 11:27:47.242 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:27:47.245 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:27:47.248 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:31:36.961 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.ActivityCollect.
2020-06-29 11:31:37.251 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:31:37.257 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:31:37.261 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:31:37.406 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Customerrelation.
2020-06-29 11:31:37.857 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:31:37.864 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:31:37.868 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:31:37.912 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:31:37.919 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:31:37.923 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:31:37.959 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:31:37.966 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:31:37.969 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 11:31:38.119 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Qzmonthlog.
2020-06-29 11:31:38.218 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 11:31:38.222 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 11:31:38.225 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 14:15:19.060 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.ActivityCollect.
2020-06-29 14:15:19.390 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-29 14:15:19.396 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-29 14:15:19.401 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-29 14:15:19.566 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Customerrelation.
2020-06-29 14:15:19.974 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
